Dl = 0,Dl = 1,Dl = 2,Dl = 3
0.0,0.0,0.0,0.0
2.1443188158057302e-14,4.381203593478095e-14,5.441385095080003e-14,5.836078626750109e-14
1.0020342244117781e-13,2.2850015312009545e-13,3.069232354186289e-13,3.416126479305915e-13
2.4183824645978876e-13,6.033086274088325e-13,8.74030651214698e-13,1.017097427513191e-12
4.260132864895473e-13,1.1341600281866452e-12,1.7439688322568212e-12,2.112378268085179e-12
6.385896589965054e-13,1.788172658943545e-12,2.8877068959540264e-12,3.6270584543120958e-12
8.638286795997888e-13,2.516182071099322e-12,4.2275078815837676e-12,5.478965828253384e-12
1.0935793036836084e-12,3.2887301759773575e-12,5.710097961947117e-12,7.60579413377948e-12
1.3205501480386951e-12,4.076427094567046e-12,7.274074120321816e-12,9.920895987586602e-12
1.5414696952491553e-12,4.863555759910317e-12,8.8823240285931e-12,1.2367272307610489e-11
1.7535272454702862e-12,5.635767426230774e-12,1.0498399322918342e-11,1.488360117518872e-11
