Dl0,Dl1,Dl2,Dl3,Dl4,Dl5,Dl6,Dl7,Dl8,Dl9,Dl10,Dl11,Dl12,Dl13,Dl14,Dl15,Dl16,Dl17,Dl18,Dl19,Dl20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1308805277685477e-7,6.016660388951888e-7,7.774699797410134e-7,8.790026891134148e-7,9.414839536782603e-7,9.819048710669108e-7,1.00944415285284e-6,1.0289324722494758e-6,1.0432121549237285e-6,1.053958241794954e-6,1.0622454452158396e-6,1.0687607381641248e-6,1.073975436363615e-6,1.0782100614556502e-6,1.0816958703229053e-6,1.084597722423499e-6,1.0870393154319118e-6,1.089112147807085e-6,1.0908870469568438e-6,1.0924179781984546e-6,1.0937477873899626e-6
7.541670110280143e-7,1.585623488039499e-6,2.1691395024232315e-6,2.54089603341606e-6,2.7862088149552546e-6,2.9531929167036384e-6,3.071463888938502e-6,3.1577195249448135e-6,3.222479037087574e-6,3.2721862677225933e-6,3.311157282702605e-6,3.342223480347058e-6,3.3673854275373144e-6,3.3880282804699895e-6,3.4051734368922237e-6,3.4195585695684923e-6,3.431746587787352e-6,3.442157944293889e-6,3.4511225373806746e-6,3.458893606461916e-6,3.4656744657139998e-6
1.1138239398269048e-6,2.4992930554138034e-6,3.580521168110908e-6,4.326492463046645e-6,4.849217708880353e-6,5.2216539122409496e-6,5.495109401032159e-6,5.700342377416664e-6,5.858104894123588e-6,5.981579817151292e-6,6.0799955506909286e-6,6.159555392028505e-6,6.224781393733066e-6,6.278858576608735e-6,6.324191542279729e-6,6.362538736194626e-6,6.395267146331568e-6,6.423407391909611e-6,6.447780428254828e-6,6.469020946045437e-6,6.487644974226226e-6
1.3853227866520942e-6,3.2556049195310134e-6,4.831342083675542e-6,5.9863958249061136e-6,6.835101129808315e-6,7.4627130283700365e-6,7.937561537136721e-6,8.302746413500814e-6,8.589233829492693e-6,8.81731491531102e-6,9.001778506525515e-6,9.152779325903488e-6,9.277935213062668e-6,9.382694544714492e-6,9.471260913463713e-6,9.546743747478042e-6,9.611601977098116e-6,9.667705827146795e-6,9.716565921536155e-6,9.759358186474476e-6,9.797049841517077e-6
1.593583808014253e-6,3.877462212755142e-6,5.917776202497567e-6,7.487658770726572e-6,8.687291362147928e-6,9.602897363462906e-6,1.0313905743985916e-5,1.0872630491751156e-5,1.1319015110626828e-5,1.1679943941710932e-5,1.197578311801827e-5,1.2220782070791723e-5,1.2425929616558333e-5,1.2599194414233653e-5,1.274685514629514e-5,1.2873605192796176e-5,1.2983218473096267e-5,1.3078588891988216e-5,1.3162085988810551e-5,1.3235566249363138e-5,1.3300574167286471e-5
1.7552695962000922e-6,4.386342409039475e-6,6.846418205993543e-6,8.814585563087067e-6,1.0367967899860823e-5,1.1585576571503042e-5,1.2552409469654258e-5,1.3326551029769772e-5,1.3955034790078453e-5,1.447025405910797e-5,1.489765764534278e-5,1.5255347663536573e-5,1.5557649595101756e-5,1.581508177161527e-5,1.60360963358912e-5,1.6227072680894546e-5,1.639322099610698e-5,1.6538567298855773e-5,1.666645031543922e-5,1.677950211580343e-5,1.687993583090334e-5
1.8837037801019334e-6,4.807865894577699e-6,7.643861128660334e-6,9.987141650818302e-6,1.188771700581364e-5,1.3412007763990166e-5,1.4646130588987745e-5,1.565082919415177e-5,1.647826670779468e-5,1.716508404627337e-5,1.774109889857816e-5,1.8227829338497488e-5,1.8642732581001533e-5,1.8998769274968284e-5,1.9306552762339083e-5,1.9574164022006273e-5,1.9808302767635735e-5,2.0014182580643596e-5,2.0196180467743615e-5,2.0357766928162543e-5,2.050189024830041e-5
1.9872957778022086e-6,5.159454925417821e-6,8.329064323452151e-6,1.1019450876697056e-5,1.3252636354606196e-5,1.5079429306903717e-5,1.658377466478673e-5,1.7826534602465868e-5,1.8863176213984355e-5,1.9733323813207966e-5,2.047034035744222e-5,2.109860847120827e-5,2.1638383715027494e-5,2.2104854184691157e-5,2.2510682229464988e-5,2.2865586163885366e-5,2.3177738495064233e-5,2.3453540576458953e-5,2.3698429422883024e-5,2.3916739438862282e-5,2.4112188805041316e-5
2.072341281229357e-6,5.456233480667577e-6,8.922265269774234e-6,1.1932276738252743e-5,1.4481076092347136e-5,1.6602357358030535e-5,1.837557607620222e-5,1.985973068783116e-5,2.1112023811265595e-5,2.2173905936090203e-5,2.308147166925177e-5,2.3861389437688214e-5,2.4536329877670285e-5,2.51234412300687e-5,2.5637270043252745e-5,2.6089060831243743e-5,2.648840030720421e-5,2.6842842192313005e-5,2.715887480832255e-5,2.7441696456582086e-5,2.7695808607565514e-5
2.143051412433693e-6,5.708751293700331e-6,9.437967636991577e-6,1.2740568182507711e-5,1.558586575267845e-5,1.799005400470331e-5,2.0026584133863784e-5,2.1751145758196598e-5,2.3221390054681906e-5,2.447959523253462e-5,2.5563826413762102e-5,2.6502473918069137e-5,2.7320217984849632e-5,2.8035871684472543e-5,2.866566235424873e-5,2.922221476322327e-5,2.9716435067557804e-5,3.0156963368561994e-5,3.0551301440665445e-5,3.0905487339233634e-5,3.122479704852647e-5
2.2026315990112954e-6,5.92575285833457e-6,9.889516603663202e-6,1.345992837002353e-5,1.6582884678735483e-5,1.925732629524001e-5,2.154976410906798e-5,2.3511546980424047e-5,2.519975168955151e-5,2.6656645789566307e-5,2.7921588773779045e-5,2.9024170599458126e-5,2.9990687590107226e-5,3.0841319408974684e-5,3.159375811626706e-5,3.2261846552436544e-5,3.285769738806833e-5,3.3390953341179285e-5,3.387007480130839e-5,3.4301899954044076e-5,3.4692456554365723e-5
2.2533431728879607e-6,6.113581181385866e-6,1.0286781135653706e-5,1.410198508784491e-5,1.7483881431464477e-5,2.0414842413774756e-5,2.295394585377123e-5,2.514752226862382e-5,2.7051291165387837e-5,2.8706833689228403e-5,3.0154219694386513e-5,3.1423773890971536e-5,3.254304075974585e-5,3.353327450669273e-5,3.4413413686108655e-5,3.51983496854067e-5,3.5901275610981426e-5,3.6532740473942384e-5,3.710209397041376e-5,3.761692206571343e-5,3.808396851923364e-5
2.2969515335727294e-6,6.2774787989593605e-6,1.0638479961712454e-5,1.4677799542773655e-5,1.830106132370506e-5,2.1474958584508616e-5,2.4250942678366502e-5,2.666990226629965e-5,2.8785607538813338e-5,3.06384160929997e-5,3.2268615565234815e-5,3.370685878352463e-5,3.498160031328043e-5,3.611490426605305e-5,3.712674124142842e-5,3.8032882941036397e-5,3.8847473749607756e-5,3.958186721700427e-5,4.0246226244887056e-5,4.0848824931960435e-5,4.139707991360408e-5
2.3347564073678122e-6,6.421382639863651e-6,1.0951255971568578e-5,1.5195864243502258e-5,1.9043787382042844e-5,2.2447055550050617e-5,2.5449519896934968e-5,2.8086410421585208e-5,3.0409123100238255e-5,3.245638091638048e-5,3.426828248235465e-5,3.5875463661107655e-5,3.7306989975225885e-5,3.858549118000351e-5,3.973176899297294e-5,4.076231368338431e-5,4.169209161037441e-5,4.253315742038823e-5,4.32964062654992e-5,4.3990735879849526e-5,4.4624186385164455e-5
