amp,std
0.0,0.0
3.1055182727795544e-7,5.2976243082126485e-9
7.443418632936991e-7,1.5132358250779504e-8
1.0909379818749224e-6,2.441322855624513e-8
1.3589489034172386e-6,3.247829242559232e-8
1.5527474685160514e-6,3.939295083203368e-8
1.720853313468381e-6,4.6039449374586775e-8
1.847378809127171e-6,5.1759136605876616e-8
1.9554449992030785e-6,5.6675022295183375e-8
2.0420877759060924e-6,6.121148832658442e-8
2.1102801586014833e-6,6.495882389989654e-8
2.176159987376432e-6,6.921499597433955e-8
2.2256603110721294e-6,7.254654737866136e-8
2.269798118652933e-6,7.594111572021201e-8
2.3070674098220808e-6,7.898131819978926e-8
2.340993256947205e-6,8.297808090382256e-8
2.3702252057092436e-6,8.554537334953833e-8
2.3949989616108678e-6,8.779977835925381e-8
2.4203064037329588e-6,9.028200021917289e-8
2.4447328469472645e-6,9.24133303382965e-8
2.462682047512638e-6,9.415912551516853e-8
