amp,std
0.0,0.0
9.60241799826704e-7,1.4004195188118305e-8
2.942085004594118e-6,5.06213903795945e-8
5.264619220570743e-6,1.0285440116734575e-7
7.548673864747606e-6,1.6338523610751552e-7
9.833708964356982e-6,2.288368931238724e-7
1.178125665586326e-5,2.886663740145253e-7
1.3688225863503615e-5,3.6091435996797057e-7
1.52908420327143e-5,4.3097418470748775e-7
1.692095207083308e-5,5.050182014783779e-7
1.8355835845332075e-5,5.716360193520082e-7
1.9689768760251896e-5,6.421397034253059e-7
2.070541615513136e-5,6.913856195307073e-7
2.1824331844031634e-5,7.524959218723885e-7
2.2743271704902283e-5,8.104072920685733e-7
2.361364995187715e-5,8.735947474472333e-7
2.4441356582077266e-5,9.288311441310105e-7
2.5284206048459515e-5,1.001497104255574e-6
2.5942296461124875e-5,1.062987324980957e-6
2.666765891125815e-5,1.1201421533614529e-6
2.726224886479878e-5,1.1721466321780581e-6
