amp,std
0.0,0.0
2.940010614775974e-7,2.230884526518473e-9
5.059673049910484e-7,4.302346163212946e-9
5.977186880777879e-7,5.411609207687708e-9
6.411676910538383e-7,6.047726876848307e-9
6.637385131805534e-7,6.449623265834868e-9
6.763189648353435e-7,6.715862042563932e-9
6.836950180683712e-7,6.900832704385089e-9
6.883261562381295e-7,7.040375212128107e-9
6.910769829797343e-7,7.1324502842436885e-9
6.930637381699427e-7,7.206747366585689e-9
6.944354751987782e-7,7.261506794701925e-9
6.953860095245196e-7,7.3061304450508465e-9
6.961147440542776e-7,7.340183075289321e-9
6.966314754026641e-7,7.368594491800295e-9
6.970791633184905e-7,7.406271911899848e-9
6.973322662550102e-7,7.420256908793246e-9
6.97542098882456e-7,7.434074415923417e-9
6.977280462925239e-7,7.448240922771223e-9
6.978881546047513e-7,7.462062487285168e-9
6.980144170671545e-7,7.480861998675887e-9
