amp,std
0.0,0.0
17.906975555555555,0.09768542105390744
350.1885580555556,1.6627697079736423
4018.100230877778,16.534807652338618
24468.786860921995,88.55094205319676
115291.96792737098,379.0573886403123
419957.4076802308,1274.7448088105157
1.3152392724809162e6,3766.36214748344
3.5923156720900685e6,9788.112571587062
8.90033369059065e6,23399.89959418987
2.0247428376823425e7,51444.17768290551
4.312848069289334e7,106774.18129224174
8.598237867187276e7,208756.04826625605
1.6408645872773188e8,391420.0368168738
2.9924099146630085e8,703949.662523882
5.2633087130644786e8,1.2236054167210713e6
8.928151005638118e8,2.0552552149419882e6
1.4776848172914321e9,3.369064410178478e6
2.375048041407066e9,5.368133554960403e6
3.7280452776987767e9,8.377916852956619e6
5.722183963077826e9,1.2819345583864123e7
