amp,std
0.0,0.0
3.13137239206243e-7,5.406331668208356e-10
7.554095744700427e-7,1.5201724031333697e-9
1.1148802804165756e-6,2.4667000817763486e-9
1.386892321101595e-6,3.2886959721459506e-9
1.5954167559950656e-6,4.019352683739212e-9
1.7564302627236604e-6,4.6531928963119075e-9
1.885228993781534e-6,5.226606760808552e-9
1.98843981971688e-6,5.734114123026698e-9
2.073267181784526e-6,6.196072748803388e-9
2.14432572914835e-6,6.616121561403847e-9
2.2040289529935213e-6,6.995906669554769e-9
2.254076703420576e-6,7.337733916980926e-9
2.297876512065127e-6,7.664509324373264e-9
2.335668957073985e-6,7.964299654300128e-9
2.3681307103436926e-6,8.239961744016844e-9
2.3972560883378034e-6,8.500498870625594e-9
2.4228455308713277e-6,8.745284176021316e-9
2.4461072554098834e-6,8.984972020954265e-9
2.4663890718077866e-6,9.201555970707588e-9
2.4848423989099855e-6,9.415217678136282e-9
