amp,std
0.0,0.0
5.62055483205425e-7,1.0557982776002624e-9
1.2659140218504744e-6,2.725100687760189e-9
1.7991944554454745e-6,4.243152097727741e-9
2.1892227334495233e-6,5.522504149371389e-9
2.4836340942149994e-6,6.660154995336428e-9
2.7136685492156585e-6,7.667084866986149e-9
2.897439062510102e-6,8.585327129113496e-9
3.045445610642297e-6,9.397856544474039e-9
3.1696590404126228e-6,1.015748571172168e-8
3.2738589678460856e-6,1.0864957104521991e-8
3.369817721682448e-6,1.3752977667954466e-8
3.4473196287147413e-6,1.4377246023894994e-8
3.624012056430053e-6,5.941435721755534e-8
3.682455119012003e-6,6.0095026576916e-8
3.7397117130841993e-6,6.285562007866587e-8
3.959860054928063e-6,1.667938686610864e-7
4.077636938996053e-6,2.1693335172802506e-7
4.124121692945682e-6,2.2482882675436102e-7
4.159112697657997e-6,2.2548977088429435e-7
4.437110087304818e-6,3.8979184143439577e-7
