amp,std
0.0,0.0
2.2553143051766504,0.0157497517978133
777.3450113243568,6.373422484379704
45105.914464911315,538.9540237860228
866015.4944731256,12834.782478060988
1.0842738032668741e7,198220.73223797276
8.819916723277758e7,1.924023058827414e6
5.866689857993398e8,1.5690767132584104e7
2.9697129036225786e9,9.499553293512219e7
1.287219601492595e10,5.0359001034567404e8
5.0634010474352936e10,2.1762173820065346e9
1.5717690199648218e11,7.79061766367415e9
5.2514122355911395e11,2.9558075311191063e10
1.538450987921909e12,9.415098272358987e10
3.908498191932964e12,2.886076199473956e11
8.816523483516625e12,7.844867865072412e11
2.1523977935931465e13,2.080401518482077e12
4.614975860689145e13,5.011056150805402e12
1.1187869373311753e14,1.4540178275387904e13
2.134635461155635e14,3.1937498373799445e13
3.8282974534751244e14,3.636483295018249e13
