amp,std
0.0,0.0
2.215054005843459e-18,2.292192252135454e-20
3.882803932272872e-18,5.186893616624042e-20
4.1021218669095356e-18,5.82219563282848e-20
4.137768590234759e-18,5.982723033305781e-20
4.145881832481792e-18,6.0426612267654e-20
4.147934353880129e-18,6.068131408665537e-20
4.148385380845334e-18,6.073022270724734e-20
4.148555401239197e-18,6.075671224606003e-20
4.1486206923892684e-18,6.076623374220104e-20
4.14865106297517e-18,6.077560331912535e-20
4.148662232574599e-18,6.077892468716509e-20
4.1486657351243146e-18,6.077953644762645e-20
4.148667450092676e-18,6.078011880607607e-20
4.148668356253775e-18,6.078035690346313e-20
4.148668665946773e-18,6.078046463498509e-20
4.148668901759493e-18,6.078060407687926e-20
4.148669130402084e-18,6.078073129249108e-20
4.148669554040844e-18,6.078104982372319e-20
4.14866965649742e-18,6.078112069277424e-20
4.148669683369805e-18,6.07811220642748e-20
