amp,std
0.0,0.0
1.446409329516506e-17,1.2388628152557354e-19
4.1099897460624943e-17,4.494882985903227e-19
5.413163125127509e-17,6.710647582837828e-19
6.04853418688713e-17,8.120516925793525e-19
6.356112768708996e-17,9.06306297388378e-19
6.518324488522275e-17,9.660055331499759e-19
6.61262921763023e-17,1.0254126622167332e-18
6.663640168034776e-17,1.0693119268532513e-18
6.691961473004272e-17,1.0870245561787005e-18
6.708187124959436e-17,1.107670532151695e-18
6.719575636964218e-17,1.1182625210603042e-18
6.729775325628471e-17,1.1318183298759584e-18
6.734674323617682e-17,1.1381885357091038e-18
6.737591262980803e-17,1.1421526511451933e-18
6.742977097290936e-17,1.1642911973378976e-18
6.744204291182286e-17,1.1655006727310556e-18
6.746411147439404e-17,1.1732894458246348e-18
6.747125366385389e-17,1.1743698335529296e-18
6.747916777128679e-17,1.1768376920990219e-18
6.74845929049418e-17,1.1770328526062283e-18
