n_confs,amp,std
0.0,0.0,0.0
8.0,17.63977777777773,0.9694584797791027
81.0,333.09102777777775,15.696727701818393
367.0,3939.4264588888855,162.366925365471
1125.0,24053.81170117914,866.9361234861542
2853.0,113059.0772750566,3630.376392372028
6252.0,417851.39718850877,12849.046306709646
12494.0,1.315013599943347e6,38084.25642153264
23058.0,3.573587579329213e6,98006.58041608232
40222.0,8.976730023539258e6,235000.85456617773
66675.0,2.083293705495356e7,520598.4321507297
106341.0,4.452389605169529e7,1.0665184922537128e6
163647.0,8.753551952649523e7,2.1072518423724296e6
244811.0,1.6655507162630767e8,3.9195542195751327e6
356622.0,3.0160494186601734e8,7.0744086920333095e6
508348.0,5.2340289402878535e8,1.2099031553013267e7
709860.0,8.755264598192984e8,2.0248667309335094e7
974340.0,1.4446316569340594e9,3.332950182257929e7
1.315557e6,2.3290340981561966e9,5.342677575681549e7
1.751579e6,3.6914590111055274e9,8.283470418321873e7
2.300985e6,5.682857312926704e9,1.2813043772465752e8
