n_confs,amp,std
0.0,0.0,0.0
8.0,2.0677116069024356e-14,3.5860996401593663e-16
81.0,9.988593260113795e-14,1.9314504214334026e-15
367.0,2.3788201579539713e-13,5.011857227288474e-15
1125.0,4.2237739245574413e-13,9.392995419783157e-15
2853.0,6.31299534698093e-13,1.5351099695817144e-14
6252.0,8.491662042256824e-13,2.1974899012699952e-14
12494.0,1.0764309198617142e-12,3.0113803744095435e-14
23058.0,1.2934532924980367e-12,3.817877975813154e-14
40222.0,1.510843697900437e-12,4.797087257577265e-14
66675.0,1.7084455010049577e-12,5.6779547794317537e-14
106341.0,1.9255855231562325e-12,6.81326306062248e-14
163647.0,2.1023661585868128e-12,7.754778680983327e-14
244811.0,2.2782499627321056e-12,8.925345079795168e-14
356622.0,2.433411443154704e-12,9.844362168388104e-14
508348.0,2.588227647353799e-12,1.0901829069282166e-13
709860.0,2.7227411617873678e-12,1.1926568899919859e-13
974340.0,2.8677202799602834e-12,1.2990549232176316e-13
1.315557e6,2.9978065429161175e-12,1.4018928961049514e-13
1.751579e6,3.1066329405343793e-12,1.4947646962644884e-13
2.300985e6,3.221662585670429e-12,1.6065526709201016e-13
